Year,Production,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1999,"153,679",12806.60,12806.60,12806.60,12806.60,12806.60,12806.60,12806.60,12806.60,12806.60,12806.60,12806.60,12806.60
2000,"121,617",10134.75,10134.75,10134.75,10134.75,10134.75,10134.75,10134.75,10134.75,10134.75,10134.75,10134.75,10134.75
2001,"129,580",10798.33,10798.33,10798.33,10798.33,10798.33,10798.33,10798.33,10798.33,10798.33,10798.33,10798.33,10798.33
2002,"125,151",10429.25,10429.25,10429.25,10429.25,10429.25,10429.25,10429.25,10429.25,10429.25,10429.25,10429.25,10429.25
2003,"129,957",10829.75,10829.75,10829.75,10829.75,10829.75,10829.75,10829.75,10829.75,10829.75,10829.75,10829.75,10829.75
2004,"126,735",10561.25,10561.25,10561.25,10561.25,10561.25,10561.25,10561.25,10561.25,10561.25,10561.25,10561.25,10561.25
2005,"110,587",9215.58,9215.58,9215.58,9215.58,9215.58,9215.58,9215.58,9215.58,9215.58,9215.58,9215.58,9215.58
2006,"95,593",7966.08,7966.08,7966.08,7966.08,7966.08,7966.08,7966.08,7966.08,7966.08,7966.08,7966.08,7966.08
2007,"100,306",8358.81,8358.81,8358.81,8358.81,8358.81,8358.81,8358.81,8358.81,8358.81,8358.81,8358.81,8358.81
2008,"112,251",9354.25,9354.25,9354.25,9354.25,9354.25,9354.25,9354.25,9354.25,9354.25,9354.25,9354.25,9354.25
2009,"133,620",11135.00,11135.00,11135.00,11135.00,11135.00,11135.00,11135.00,11135.00,11135.00,11135.00,11135.00,11135.00
2010,"109,407",9117.25,9117.25,9117.25,9117.25,9117.25,9117.25,9117.25,9117.25,9117.25,9117.25,9117.25,9117.25
2011,"129,780",10815.00,10815.00,10815.00,10815.00,10815.00,10815.00,10815.00,10815.00,10815.00,10815.00,10815.00,10815.00
2012,"106,479",8873.25,8873.25,8873.25,8873.25,8873.25,8873.25,8873.25,8873.25,8873.25,8873.25,8873.25,8873.25
2013,"114,771",9564.25,9564.25,9564.25,9564.25,9564.25,9564.25,9564.25,9564.25,9564.25,9564.25,9564.25,9564.25
2014,"115,779",9648.25,9648.25,9648.25,9648.25,9648.25,9648.25,9648.25,9648.25,9648.25,9648.25,9648.25,9648.25
2015,"131,975",10997.92,10997.92,10997.92,10997.92,10997.92,10997.92,10997.92,10997.92,10997.92,10997.92,10997.92,10997.92
2016,"123,069",10255.75,10255.75,10255.75,10255.75,10255.75,10255.75,10255.75,10255.75,10255.75,10255.75,10255.75,10255.75
2017,"115,132",9594.33,9594.33,9594.33,9594.33,9594.33,9594.33,9594.33,9594.33,9594.33,9594.33,9594.33,9594.33
2018,"116,632",9719.33,9719.33,9719.33,9719.33,9719.33,9719.33,9719.33,9719.33,9719.33,9719.33,9719.33,9719.33
2019,"128,473",10706.08,10706.08,10706.08,10706.08,10706.08,10706.08,10706.08,10706.08,10706.08,10706.08,10706.08,10706.08
2020,"112,146",9345.50,9345.50,9345.50,9345.50,9345.50,9345.50,9345.50,9345.50,9345.50,9345.50,9345.50,9345.50
2021,"120,960",10080.00,10080.00,10080.00,10080.00,10080.00,10080.00,10080.00,10080.00,10080.00,10080.00,10080.00,10080.00
2022,"131,988",10999.00,10999.00,10999.00,10999.00,10999.00,10999.00,10999.00,10999.00,10999.00,10999.00,10999.00,10999.00
2023,"107,443",8953.58,8953.58,8953.58,8953.58,8953.58,8953.58,8953.58,8953.58,8953.58,8953.58,8953.58,8953.58
2024,"126,959",10579.92,10579.22,10579.22,10579.22,10579.22,10579.22,10579.22,10579.22,10579.22,10579.22,10579.22,10579.22
