Year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1999,250.9,104,100.2,122.5,83.4,84.8,28,138,204.3,137.4,125.5,261.6
2000,111.1,178.6,66.6,153.5,97.7,89,87.6,106.8,167.3,284.5,287.2,256.1
2001,100.6,131.3,115.5,141.4,59.3,47.5,111.1,132.3,97,207.3,130,75.7
2002,180.7,267.7,66.1,99.8,149.2,76.3,73.9,75.3,36.3,199.6,231.2,173.1
2003,114.1,63.3,78,78.9,129.1,71.2,125,24.8,58.4,91,141.6,161.4
2004,192.7,119.9,90.1,81.5,66.5,74.1,78.8,157.1,145.1,257,90.5,132.9
2005,124,78.3,74.8,114.7,63,74.6,87.6,69.7,101.7,216.7,185.4,113.3
2006,65.5,79.9,173.8,68.5,164.9,35.4,51.7,103,83.2,188,198,258.5
2007,203.3,145.3,104.1,24.9,129.7,168.1,204.3,75.5,92,61.3,93.3,184.1
2008,246.2,80.3,147.3,90.2,60.9,94.2,150.5,189.7,154.8,228.7,127.9,94.9
2009,168.4,32.8,68,76.9,93.1,74.7,226.4,101.8,53.1,128.9,318.7,154
2010,100.3,60.9,99.6,43.6,53.4,42.2,158.6,105.5,152.5,119,140.7,52.7
2011,149.3,130.6,30.9,30.8,93.9,110,95.1,83.4,129.2,126.8,97.6,211.1
2012,129.9,64.3,31.4,169.2,77,218.6,132.7,156.8,130.8,148.8,178,264.9
2013,140.3,76.2,88.1,54,113.3,62.4,62.6,108.6,74.2,224.9,113.7,224.9
2014,257.9,241.6,80.5,78.9,129.6,57.5,57.1,143.3,16.4,177.3,151.3,159.6
2015,187.7,87.8,97.4,35.1,134.9,59.6,113.9,128.9,71.7,71.5,245.9,334.1
2016,243.8,147.5,104.4,87.9,85.2,131.4,86.3,103.7,135.3,45,118.1,82.4
2017,83.3,119.1,155.1,25.5,71.4,130.8,121.1,111.3,171.5,109.3,145.9,171.3
2018,170.1,78.1,140.9,115.1,60.4,20.4,62.6,99.2,134.6,132,164.4,189.5
2019,81.6,87.6,176.9,98.1,47.2,146.7,58.8,144,193.4,208,177.6,184.6
2020,146.1,295.3,103,40.7,14.5,140.9,121.3,184.4,80.8,219.8,137,262.9
2021,213.3,159.6,98.4,17.1,213.9,32.7,82.4,77.6,122.4,215.2,73.3,191.8
2022,70.7,205.7,52.7,47.5,63.9,75.9,53.2,42.9,121.9,180.5,210.1,169
2023,198.2,26.9,210.2,83.8,35.9,49.2,179.6,121.7,160.8,216.1,174.4,259
2024,161.9,205.8,158.2,135.8,95.4,48.1,88.7,103.5,155.2,126.3,134.4,187.4
