Year,Production,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1999,7479,623.25,623.25,623.25,623.25,623.25,623.25,623.25,623.25,623.25,623.25,623.25,623.25
2000,4889,407.42,407.42,407.42,407.42,407.42,407.42,407.42,407.42,407.42,407.42,407.42,407.42
2001,3571,297.58,297.58,297.58,297.58,297.58,297.58,297.58,297.58,297.58,297.58,297.58,297.58
2002,4791,399.25,399.25,399.25,399.25,399.25,399.25,399.25,399.25,399.25,399.25,399.25,399.25
2003,8318,693.17,693.17,693.17,693.17,693.17,693.17,693.17,693.17,693.17,693.17,693.17,693.17
2004,9892,824.33,824.33,824.33,824.33,824.33,824.33,824.33,824.33,824.33,824.33,824.33,824.33
2005,9688,807.33,807.33,807.33,807.33,807.33,807.33,807.33,807.33,807.33,807.33,807.33,807.33
2006,8705,725.42,725.42,725.42,725.42,725.42,725.42,725.42,725.42,725.42,725.42,725.42,725.42
2007,8795,732.92,732.92,732.92,732.92,732.92,732.92,732.92,732.92,732.92,732.92,732.92,732.92
2008,10363.00,863.58,863.58,863.58,863.58,863.58,863.58,863.58,863.58,863.58,863.58,863.58,863.58
2009,13434,1119.50,1119.50,1119.50,1119.50,1119.50,1119.50,1119.50,1119.50,1119.50,1119.50,1119.50,1119.50
2010,18939,1578.25,1578.25,1578.25,1578.25,1578.25,1578.25,1578.25,1578.25,1578.25,1578.25,1578.25,1578.25
2011,20422,1701.83,1701.83,1701.83,1701.83,1701.83,1701.83,1701.83,1701.83,1701.83,1701.83,1701.83,1701.83
2012,19223,1601.92,1601.92,1601.92,1601.92,1601.92,1601.92,1601.92,1601.92,1601.92,1601.92,1601.92,1601.92
2013,14044,1170.33,1170.33,1170.33,1170.33,1170.33,1170.33,1170.33,1170.33,1170.33,1170.33,1170.33,1170.33
2014,19703,1641.92,1641.92,1641.92,1641.92,1641.92,1641.92,1641.92,1641.92,1641.92,1641.92,1641.92,1641.92
2015,18690,1557.50,1557.50,1557.50,1557.50,1557.50,1557.50,1557.50,1557.50,1557.50,1557.50,1557.50,1557.50
2016,15567,1297.25,1297.25,1297.25,1297.25,1297.25,1297.25,1297.25,1297.25,1297.25,1297.25,1297.25,1297.25
2017,16993,1416.08,1416.08,1416.08,1416.08,1416.08,1416.08,1416.08,1416.08,1416.08,1416.08,1416.08,1416.08
2018,15961,1330.08,1330.08,1330.08,1330.08,1330.08,1330.08,1330.08,1330.08,1330.08,1330.08,1330.08,1330.08
2019,16911,1409.25,1409.25,1409.25,1409.25,1409.25,1409.25,1409.25,1409.25,1409.25,1409.25,1409.25,1409.25
2020,8317,693.08,693.08,693.08,693.08,693.08,693.08,693.08,693.08,693.08,693.08,693.08,693.08
2021,15687,1307.25,1307.25,1307.25,1307.25,1307.25,1307.25,1307.25,1307.25,1307.25,1307.25,1307.25,1307.25
2022,19130,1594.17,1594.17,1594.17,1594.17,1594.17,1594.17,1594.17,1594.17,1594.17,1594.17,1594.17,1594.17
2023,23040,1920.00,1920.00,1920.00,1920.00,1920.00,1920.00,1920.00,1920.00,1920.00,1920.00,1920.00,1920.00
2024,16040,1336.67,1336.67,1336.67,1336.67,1336.67,1336.67,1336.67,1336.67,1336.67,1336.67,1336.67,1336.67
