Year,Production,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1999,79085.00,6590.041,6590.041,6590.041,6590.041,6590.041,6590.041,6590.041,6590.041,6590.041,6590.041,6590.041,6590.041
2000,113046.77,9420.56,9420.56,9420.56,9420.56,9420.56,9420.56,9420.56,9420.56,9420.56,9420.56,9420.56,9420.56
2001,67265.58,5605.46,5605.46,5605.46,5605.46,5605.46,5605.46,5605.46,5605.46,5605.46,5605.46,5605.46,5605.46
2002,112039.00,9336.58,9336.58,9336.58,9336.58,9336.58,9336.58,9336.58,9336.58,9336.58,9336.58,9336.58,9336.58
2003,107698.81,8974.9,8974.9,8974.9,8974.9,8974.9,8974.9,8974.9,8974.9,8974.9,8974.9,8974.9,8974.9
2004,115402.00,9586.83,9586.83,9586.83,9586.83,9586.83,9586.83,9586.83,9586.83,9586.83,9586.83,9586.83,9586.83
2005,104963.00,8746.91,8746.91,8746.91,8746.91,8746.91,8746.91,8746.91,8746.91,8746.91,8746.91,8746.91,8746.91
2006,99787.00,8315.58,8315.58,8315.58,8315.58,8315.58,8315.58,8315.58,8315.58,8315.58,8315.58,8315.58,8315.58
2007,85637.00,7136.42,7316.42,7316.42,7316.42,7316.42,7316.42,7316.42,7316.42,7316.42,7316.42,7316.42,7316.42
2008,133023.00,11085.25,11085.25,11085.25,11085.25,11085.25,11085.25,11085.25,11085.25,11085.25,11085.25,11085.25,11085.25
2009,139676.00,11639.67,11639.67,11639.67,11639.67,11639.67,11639.67,11639.67,11639.67,11639.67,11639.67,11639.67,11639.67
2010,171847.00,14320.58,14320.58,14320.58,14320.58,14320.58,14320.58,14320.58,14320.58,14320.58,14320.58,14320.58,14320.58
2011,193456.00,16121.33,16121.33,16121.33,16121.33,16121.33,16121.33,16121.33,16121.33,16121.33,16121.33,16121.33,16121.33
2012,148141.00,12345.08,12345.08,12345.08,12345.08,12345.08,12345.08,12345.08,12345.08,12345.08,12345.08,12345.08,12345.08
2013,98924.00,8243.67,8243.67,8243.67,8243.67,8243.67,8243.67,8243.67,8243.67,8243.67,8243.67,8243.67,8243.67
2014,163574.00,13631.17,13631.17,13631.17,13631.17,13631.17,13631.17,13631.17,13631.17,13631.17,13631.17,13631.17,13631.17
2015,176423.00,14701.92,14701.92,14701.92,14701.92,14701.92,14701.92,14701.92,14701.92,14701.92,14701.92,14701.92,14701.92
2016,156732.00,13061.00,13061,13061,13061,13061,13061,13061,13061,13061,13061,13061,13061
2017,158349.00,13195.75,13195.75,13195.75,13195.75,13195.75,13195.75,13195.75,13195.75,13195.75,13195.75,13195.75,13195.75
2018,152308.00,12692.33,12692.33,12692.33,12692.33,12692.33,12692.33,12692.33,12692.33,12692.33,12692.33,12692.33,12692.33
2019,189721.00,15810.08,15810.08,15810.08,15810.08,15810.08,15810.08,15810.08,15810.08,15810.08,15810.08,15810.08,15810.08
2020,134732.00,11227.67,11227.67,11227.67,11227.67,11227.67,11227.67,11227.67,11227.67,11227.67,11227.67,11227.67,11227.67
2021,170729.00,14227.42,14227.42,14227.42,14227.42,14227.42,14227.42,14227.42,14227.42,14227.42,14227.42,14227.42,14227.42
2022,208883.00,17406.92,17406.92,17406.92,17406.92,17406.92,17406.92,17406.92,17406.92,17406.92,17406.92,17406.92,17406.92
2023,180979.00,15081.58,15081.58,15081.58,15081.58,15081.58,15081.58,15081.58,15081.58,15081.58,15081.58,15081.58,15081.58
2024,150162.00,12513.50,12513.5,12513.5,12513.5,12513.5,12513.5,12513.5,12513.5,12513.5,12513.5,12513.5,12513.5
